~id,~from,~to,~label
1-218-HAS_NAME-377005476,customer-1,name-218,HAS_NAME
2-210-HAS_NAME-1167303614,customer-2,name-210,HAS_NAME
3-238-HAS_NAME-865558350,customer-3,name-238,HAS_NAME
4-229-HAS_NAME-562776086,customer-4,name-229,HAS_NAME
5-220-HAS_NAME-1359642911,customer-5,name-220,HAS_NAME
6-219-HAS_NAME-2001534406,customer-6,name-219,HAS_NAME
7-209-HAS_NAME-1921353559,customer-7,name-209,HAS_NAME
8-215-HAS_NAME-1878613474,customer-8,name-215,HAS_NAME
9-240-HAS_NAME-1470284186,customer-9,name-240,HAS_NAME
10-247-HAS_NAME-509801084,customer-10,name-247,HAS_NAME
11-206-HAS_NAME-1981472737,customer-11,name-206,HAS_NAME
12-248-HAS_NAME-2107031755,customer-12,name-248,HAS_NAME
13-218-HAS_NAME-922031909,customer-13,name-218,HAS_NAME
14-215-HAS_NAME-1647351413,customer-14,name-215,HAS_NAME
15-215-HAS_NAME-990573616,customer-15,name-215,HAS_NAME
16-207-HAS_NAME-730954373,customer-16,name-207,HAS_NAME
17-216-HAS_NAME-1956377491,customer-17,name-216,HAS_NAME
18-209-HAS_NAME-2053875393,customer-18,name-209,HAS_NAME
19-226-HAS_NAME-1115453290,customer-19,name-226,HAS_NAME
20-244-HAS_NAME-1046961991,customer-20,name-244,HAS_NAME
21-234-HAS_NAME-1402478119,customer-21,name-234,HAS_NAME
22-202-HAS_NAME-81339462,customer-22,name-202,HAS_NAME
23-209-HAS_NAME-232880471,customer-23,name-209,HAS_NAME
24-225-HAS_NAME-1070308611,customer-24,name-225,HAS_NAME
25-209-HAS_NAME-533567451,customer-25,name-209,HAS_NAME
26-225-HAS_NAME-2127364937,customer-26,name-225,HAS_NAME
27-226-HAS_NAME-433843384,customer-27,name-226,HAS_NAME
28-201-HAS_NAME-161532848,customer-28,name-201,HAS_NAME
29-211-HAS_NAME-750664268,customer-29,name-211,HAS_NAME
30-228-HAS_NAME-1360924940,customer-30,name-228,HAS_NAME
31-213-HAS_NAME-1119746368,customer-31,name-213,HAS_NAME
32-205-HAS_NAME-951742658,customer-32,name-205,HAS_NAME
