~id,~from,~to,~label
1-284-HAS_TOKEN-1233943716,customer-1,token-284,HAS_TOKEN
2-261-HAS_TOKEN-439919964,customer-2,token-261,HAS_TOKEN
3-268-HAS_TOKEN-2105701299,customer-3,token-268,HAS_TOKEN
4-290-HAS_TOKEN-1388888563,customer-4,token-290,HAS_TOKEN
5-288-HAS_TOKEN-70837725,customer-5,token-288,HAS_TOKEN
6-254-HAS_TOKEN-668089048,customer-6,token-254,HAS_TOKEN
7-252-HAS_TOKEN-918717451,customer-7,token-252,HAS_TOKEN
8-251-HAS_TOKEN-1868886494,customer-8,token-251,HAS_TOKEN
9-252-HAS_TOKEN-532564366,customer-9,token-252,HAS_TOKEN
10-276-HAS_TOKEN-633022493,customer-10,token-276,HAS_TOKEN
11-298-HAS_TOKEN-1699317447,customer-11,token-298,HAS_TOKEN
12-261-HAS_TOKEN-1604961766,customer-12,token-261,HAS_TOKEN
13-272-HAS_TOKEN-1542901940,customer-13,token-272,HAS_TOKEN
14-293-HAS_TOKEN-21704659,customer-14,token-293,HAS_TOKEN
15-282-HAS_TOKEN-103273484,customer-15,token-282,HAS_TOKEN
16-276-HAS_TOKEN-1373727958,customer-16,token-276,HAS_TOKEN
17-284-HAS_TOKEN-449439013,customer-17,token-284,HAS_TOKEN
18-266-HAS_TOKEN-197277485,customer-18,token-266,HAS_TOKEN
19-264-HAS_TOKEN-1851920784,customer-19,token-264,HAS_TOKEN
20-296-HAS_TOKEN-305243489,customer-20,token-296,HAS_TOKEN
21-284-HAS_TOKEN-1857445094,customer-21,token-284,HAS_TOKEN
22-251-HAS_TOKEN-1647915115,customer-22,token-251,HAS_TOKEN
23-259-HAS_TOKEN-1796069365,customer-23,token-259,HAS_TOKEN
24-290-HAS_TOKEN-1851064690,customer-24,token-290,HAS_TOKEN
25-276-HAS_TOKEN-784846857,customer-25,token-276,HAS_TOKEN
26-287-HAS_TOKEN-2013260665,customer-26,token-287,HAS_TOKEN
27-299-HAS_TOKEN-1175262140,customer-27,token-299,HAS_TOKEN
28-277-HAS_TOKEN-1157352610,customer-28,token-277,HAS_TOKEN
29-295-HAS_TOKEN-1593516865,customer-29,token-295,HAS_TOKEN
30-295-HAS_TOKEN-1092357813,customer-30,token-295,HAS_TOKEN
31-277-HAS_TOKEN-7617511,customer-31,token-277,HAS_TOKEN
32-251-HAS_TOKEN-441952195,customer-32,token-251,HAS_TOKEN
33-276-HAS_TOKEN-1678569732,customer-33,token-276,HAS_TOKEN
34-259-HAS_TOKEN-308255182,customer-34,token-259,HAS_TOKEN
35-286-HAS_TOKEN-437196848,customer-35,token-286,HAS_TOKEN
36-288-HAS_TOKEN-1597246361,customer-36,token-288,HAS_TOKEN
37-284-HAS_TOKEN-644684635,customer-37,token-284,HAS_TOKEN
38-288-HAS_TOKEN-1783723208,customer-38,token-288,HAS_TOKEN
