~id,~from,~to,~label
1-119-HAS_DEVICE-738759012,customer-1,device-119,HAS_DEVICE
2-139-HAS_DEVICE-152282841,customer-2,device-139,HAS_DEVICE
3-101-HAS_DEVICE-2112077063,customer-3,device-101,HAS_DEVICE
4-130-HAS_DEVICE-171328515,customer-4,device-130,HAS_DEVICE
5-125-HAS_DEVICE-522588439,customer-5,device-125,HAS_DEVICE
6-132-HAS_DEVICE-1394925112,customer-6,device-132,HAS_DEVICE
7-144-HAS_DEVICE-208994583,customer-7,device-144,HAS_DEVICE
8-107-HAS_DEVICE-1707570191,customer-8,device-107,HAS_DEVICE
9-129-HAS_DEVICE-1552342275,customer-9,device-129,HAS_DEVICE
10-106-HAS_DEVICE-1698776139,customer-10,device-106,HAS_DEVICE
11-136-HAS_DEVICE-122745601,customer-11,device-136,HAS_DEVICE
12-136-HAS_DEVICE-1178689771,customer-12,device-136,HAS_DEVICE
13-112-HAS_DEVICE-896147964,customer-13,device-112,HAS_DEVICE
14-127-HAS_DEVICE-167485128,customer-14,device-127,HAS_DEVICE
15-102-HAS_DEVICE-80285454,customer-15,device-102,HAS_DEVICE
16-116-HAS_DEVICE-1786574799,customer-16,device-116,HAS_DEVICE
17-123-HAS_DEVICE-358898761,customer-17,device-123,HAS_DEVICE
18-145-HAS_DEVICE-1848391191,customer-18,device-145,HAS_DEVICE
19-105-HAS_DEVICE-939707636,customer-19,device-105,HAS_DEVICE
20-122-HAS_DEVICE-1090308886,customer-20,device-122,HAS_DEVICE
21-140-HAS_DEVICE-837458442,customer-21,device-140,HAS_DEVICE
22-145-HAS_DEVICE-580868217,customer-22,device-145,HAS_DEVICE
23-103-HAS_DEVICE-1366163801,customer-23,device-103,HAS_DEVICE
24-126-HAS_DEVICE-2120232749,customer-24,device-126,HAS_DEVICE
25-149-HAS_DEVICE-275724870,customer-25,device-149,HAS_DEVICE
26-126-HAS_DEVICE-1395502406,customer-26,device-126,HAS_DEVICE
27-135-HAS_DEVICE-1271241957,customer-27,device-135,HAS_DEVICE
28-116-HAS_DEVICE-1247671462,customer-28,device-116,HAS_DEVICE
29-128-HAS_DEVICE-350704272,customer-29,device-128,HAS_DEVICE
