~id,~from,~to,~label
1-326-HAS_PHONE-944875563,customer-1,phone-326,HAS_PHONE
2-324-HAS_PHONE-1275551927,customer-2,phone-324,HAS_PHONE
3-310-HAS_PHONE-1237348903,customer-3,phone-310,HAS_PHONE
4-326-HAS_PHONE-1749880572,customer-4,phone-326,HAS_PHONE
5-347-HAS_PHONE-733890010,customer-5,phone-347,HAS_PHONE
6-348-HAS_PHONE-467859611,customer-6,phone-348,HAS_PHONE
7-350-HAS_PHONE-183156554,customer-7,phone-350,HAS_PHONE
8-308-HAS_PHONE-900740603,customer-8,phone-308,HAS_PHONE
9-327-HAS_PHONE-1478621812,customer-9,phone-327,HAS_PHONE
10-339-HAS_PHONE-1060751832,customer-10,phone-339,HAS_PHONE
11-315-HAS_PHONE-1438115772,customer-11,phone-315,HAS_PHONE
12-339-HAS_PHONE-551414216,customer-12,phone-339,HAS_PHONE
13-329-HAS_PHONE-2143312107,customer-13,phone-329,HAS_PHONE
14-335-HAS_PHONE-782754412,customer-14,phone-335,HAS_PHONE
15-316-HAS_PHONE-859066787,customer-15,phone-316,HAS_PHONE
16-331-HAS_PHONE-1015059035,customer-16,phone-331,HAS_PHONE
17-308-HAS_PHONE-258636487,customer-17,phone-308,HAS_PHONE
18-318-HAS_PHONE-929840913,customer-18,phone-318,HAS_PHONE
19-350-HAS_PHONE-1903595005,customer-19,phone-350,HAS_PHONE
20-346-HAS_PHONE-2088098834,customer-20,phone-346,HAS_PHONE
21-350-HAS_PHONE-1088785683,customer-21,phone-350,HAS_PHONE
22-327-HAS_PHONE-392496863,customer-22,phone-327,HAS_PHONE
23-316-HAS_PHONE-552618142,customer-23,phone-316,HAS_PHONE
24-319-HAS_PHONE-1331134759,customer-24,phone-319,HAS_PHONE
25-343-HAS_PHONE-1883046376,customer-25,phone-343,HAS_PHONE
26-309-HAS_PHONE-13147918,customer-26,phone-309,HAS_PHONE
27-331-HAS_PHONE-1691614660,customer-27,phone-331,HAS_PHONE
28-319-HAS_PHONE-820639809,customer-28,phone-319,HAS_PHONE
29-346-HAS_PHONE-1884426387,customer-29,phone-346,HAS_PHONE
30-343-HAS_PHONE-454883545,customer-30,phone-343,HAS_PHONE
31-331-HAS_PHONE-1420963672,customer-31,phone-331,HAS_PHONE
32-313-HAS_PHONE-1431714342,customer-32,phone-313,HAS_PHONE
33-335-HAS_PHONE-1982516838,customer-33,phone-335,HAS_PHONE
34-336-HAS_PHONE-1247976319,customer-34,phone-336,HAS_PHONE
35-309-HAS_PHONE-1789031364,customer-35,phone-309,HAS_PHONE
36-338-HAS_PHONE-821358733,customer-36,phone-338,HAS_PHONE
37-325-HAS_PHONE-1008585240,customer-37,phone-325,HAS_PHONE
38-337-HAS_PHONE-134155364,customer-38,phone-337,HAS_PHONE
39-341-HAS_PHONE-1945655403,customer-39,phone-341,HAS_PHONE
40-304-HAS_PHONE-222593041,customer-40,phone-304,HAS_PHONE
41-301-HAS_PHONE-43758553,customer-41,phone-301,HAS_PHONE
42-313-HAS_PHONE-2060080980,customer-42,phone-313,HAS_PHONE
43-339-HAS_PHONE-1347006922,customer-43,phone-339,HAS_PHONE
