~id,~label,generator_id:Int,value:String
device-101,Device,101,B000ALH1DI
device-102,Device,102,B000K99WQE
device-103,Device,103,B000HB2O2O
device-104,Device,104,B000KGCZ8O
device-105,Device,105,B000BJ4UQ0
device-106,Device,106,B000A2MI80
device-107,Device,107,B0006OGUPY
device-108,Device,108,B00025DRIA
device-109,Device,109,B000BJ5JHE
device-110,Device,110,B000BPGAOE
device-111,Device,111,B000A70B9I
device-112,Device,112,B000A2RL4Q
device-113,Device,113,B0002BWS1G
device-114,Device,114,B000CDC7O2
device-115,Device,115,B000A6LPTO
device-116,Device,116,B000IT9ZLI
device-117,Device,117,B0009R9L7W
device-118,Device,118,B000P5YK8S
device-119,Device,119,B000F8FY6M
device-120,Device,120,B000I6TCGO
device-121,Device,121,B000AR9H5C
device-122,Device,122,B000A2LNPO
device-123,Device,123,B0007658JK
device-124,Device,124,B000ARBM9G
device-125,Device,125,B000JSBHCS
device-126,Device,126,B0000AB07P
device-127,Device,127,B000BFMIY0
device-128,Device,128,B000ABNX30
device-129,Device,129,B000BSH8AQ
device-130,Device,130,B000KMRYNO
device-131,Device,131,B000P42ICO
device-132,Device,132,B0000DGQ5D
device-133,Device,133,B0002RTXMM
device-134,Device,134,B0009IOFWC
device-135,Device,135,B000IBFL2S
device-136,Device,136,B000B7CC94
device-137,Device,137,B000GWGJK2
device-138,Device,138,B000A2MF7E
device-139,Device,139,B000BMHOVU
device-140,Device,140,B000KFZ32A
device-141,Device,141,B000N5FYOE
device-142,Device,142,B0000DHBRP
device-143,Device,143,B000Q71WNG
device-144,Device,144,B000HGNY7I
device-145,Device,145,B0002W2RBG
device-146,Device,146,B00066OELO
device-147,Device,147,B000BJ0KBO
device-148,Device,148,B000BPZFNQ
device-149,Device,149,B000H4CQYM
device-150,Device,150,B000GLXHGC
